key,model,regime,n,frac_total,class_prevalence,is_degenerate,auroc,pr_auc,f1,precision,recall,accuracy,ece,brier,min_class_n
sub01_k5_simple,xgboost,under_failure,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000134,0.000012,0.000000
sub01_k5_simple,xgboost,informative,0,0.000000,,True,,,,,,,,,
sub01_k5_simple,xgboost,saturated,0,0.000000,,True,,,,,,,,,
sub01_k5_simple,xgboost,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000134,0.000012,0.000000
sub01_k5_simple,random_forest,under_failure,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000135,0.000012,0.000000
sub01_k5_simple,random_forest,informative,0,0.000000,,True,,,,,,,,,
sub01_k5_simple,random_forest,saturated,0,0.000000,,True,,,,,,,,,
sub01_k5_simple,random_forest,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000135,0.000012,0.000000
sub01_k5_simple,logistic_regression,under_failure,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000356,0.000012,0.000000
sub01_k5_simple,logistic_regression,informative,0,0.000000,,True,,,,,,,,,
sub01_k5_simple,logistic_regression,saturated,0,0.000000,,True,,,,,,,,,
sub01_k5_simple,logistic_regression,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000356,0.000012,0.000000
sub01_k5_constrained,xgboost,under_failure,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000000,0.000006,0.000000
sub01_k5_constrained,xgboost,informative,0,0.000000,,True,,,,,,,,,
sub01_k5_constrained,xgboost,saturated,0,0.000000,,True,,,,,,,,,
sub01_k5_constrained,xgboost,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000000,0.000006,0.000000
sub01_k5_constrained,random_forest,under_failure,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000004,0.000006,0.000000
sub01_k5_constrained,random_forest,informative,0,0.000000,,True,,,,,,,,,
sub01_k5_constrained,random_forest,saturated,0,0.000000,,True,,,,,,,,,
sub01_k5_constrained,random_forest,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000004,0.000006,0.000000
sub01_k5_constrained,logistic_regression,under_failure,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000133,0.000006,0.000000
sub01_k5_constrained,logistic_regression,informative,0,0.000000,,True,,,,,,,,,
sub01_k5_constrained,logistic_regression,saturated,0,0.000000,,True,,,,,,,,,
sub01_k5_constrained,logistic_regression,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000133,0.000006,0.000000
sub01_k3_simple,xgboost,under_failure,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000061,0.000423,0.000000
