threshold,precision,recall,f1,accuracy,auroc,pr_auc,brier
0.100000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.007320
0.150000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.007320
0.200000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.007320
0.250000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.007320
0.300000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.007320
0.350000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.007320
0.400000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.007320
0.450000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.007320
0.500000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.007320
0.550000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.007320
0.600000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.007320
0.650000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.007320
0.700000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.007320
0.750000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.007320
0.800000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.007320
0.850000,1.000000,0.996667,0.998331,0.996667,0.500000,1.000000,0.007320
0.900000,1.000000,0.793333,0.884758,0.793333,0.500000,1.000000,0.007320
